sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	peakFilename	bamFilenameFull
25	0.25	1	SP4	A5	HEK293T	1	SP4_0.25	25_HEK293T_P1A5_SP4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1A5_SP4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A5_SP4_d025.noMT.filtered.deduped.bam
26	0.25	2	SP4	B5	HEK293T	1	SP4_0.25	26_HEK293T_P1B5_SP4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1B5_SP4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B5_SP4_d025.noMT.filtered.deduped.bam
27	0.25	1	ELF1	C5	HEK293T	1	ELF1_0.25	27_HEK293T_P1C5_ELF1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1C5_ELF1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C5_ELF1_d025.noMT.filtered.deduped.bam
28	0.25	2	ELF1	D5	HEK293T	1	ELF1_0.25	28_HEK293T_P1D5_ELF1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1D5_ELF1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D5_ELF1_d025.noMT.filtered.deduped.bam
29	0.25	1	FOXP1	E5	HEK293T	1	FOXP1_0.25	29_HEK293T_P1E5_FOXP1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1E5_FOXP1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E5_FOXP1_d025.noMT.filtered.deduped.bam
30	0.25	2	FOXP1	F5	HEK293T	1	FOXP1_0.25	30_HEK293T_P1F5_FOXP1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1F5_FOXP1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F5_FOXP1_d025.noMT.filtered.deduped.bam
31	0.25	1	GATA1	G5	HEK293T	1	GATA1_0.25	31_HEK293T_P1G5_GATA1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1G5_GATA1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G5_GATA1_d025.noMT.filtered.deduped.bam
32	0.25	2	GATA1	H5	HEK293T	1	GATA1_0.25	32_HEK293T_P1H5_GATA1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1H5_GATA1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H5_GATA1_d025.noMT.filtered.deduped.bam
33	0.05	1	SP4	A6	HEK293T	1	SP4_0.05	33_HEK293T_P1A6_SP4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1A6_SP4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A6_SP4_d005.noMT.filtered.deduped.bam
34	0.05	2	SP4	B6	HEK293T	1	SP4_0.05	34_HEK293T_P1B6_SP4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1B6_SP4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B6_SP4_d005.noMT.filtered.deduped.bam
35	0.05	1	ELF1	C6	HEK293T	1	ELF1_0.05	35_HEK293T_P1C6_ELF1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1C6_ELF1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C6_ELF1_d005.noMT.filtered.deduped.bam
36	0.05	2	ELF1	D6	HEK293T	1	ELF1_0.05	36_HEK293T_P1D6_ELF1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1D6_ELF1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D6_ELF1_d005.noMT.filtered.deduped.bam
37	0.05	1	FOXP1	E6	HEK293T	1	FOXP1_0.05	37_HEK293T_P1E6_FOXP1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1E6_FOXP1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E6_FOXP1_d005.noMT.filtered.deduped.bam
38	0.05	2	FOXP1	F6	HEK293T	1	FOXP1_0.05	38_HEK293T_P1F6_FOXP1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1F6_FOXP1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F6_FOXP1_d005.noMT.filtered.deduped.bam
39	0.05	1	GATA1	G6	HEK293T	1	GATA1_0.05	39_HEK293T_P1G6_GATA1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1G6_GATA1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G6_GATA1_d005.noMT.filtered.deduped.bam
40	0.05	2	GATA1	H6	HEK293T	1	GATA1_0.05	40_HEK293T_P1H6_GATA1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1H6_GATA1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H6_GATA1_d005.noMT.filtered.deduped.bam
41	1	1	BACH2	A7	HEK293T	1	BACH2_1	41_HEK293T_P1A7_BACH2_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1A7_BACH2_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A7_BACH2_d100.noMT.filtered.deduped.bam
42	1	2	BACH2	B7	HEK293T	1	BACH2_1	42_HEK293T_P1B7_BACH2_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1B7_BACH2_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B7_BACH2_d100.noMT.filtered.deduped.bam
43	1	1	FOXO1	C7	HEK293T	1	FOXO1_1	43_HEK293T_P1C7_FOXO1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1C7_FOXO1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C7_FOXO1_d100.noMT.filtered.deduped.bam
44	1	2	FOXO1	D7	HEK293T	1	FOXO1_1	44_HEK293T_P1D7_FOXO1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1D7_FOXO1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D7_FOXO1_d100.noMT.filtered.deduped.bam
45	1	1	FOXP3	E7	HEK293T	1	FOXP3_1	45_HEK293T_P1E7_FOXP3_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1E7_FOXP3_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E7_FOXP3_d100.noMT.filtered.deduped.bam
46	1	2	FOXP3	F7	HEK293T	1	FOXP3_1	46_HEK293T_P1F7_FOXP3_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1F7_FOXP3_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F7_FOXP3_d100.noMT.filtered.deduped.bam
47	1	1	IRF4	G7	HEK293T	1	IRF4_1	47_HEK293T_P1G7_IRF4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1G7_IRF4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G7_IRF4_d100.noMT.filtered.deduped.bam
48	1	2	IRF4	H7	HEK293T	1	IRF4_1	48_HEK293T_P1H7_IRF4_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1H7_IRF4_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H7_IRF4_d100.noMT.filtered.deduped.bam
49	0.75	1	BACH2	A8	HEK293T	1	BACH2_0.75	49_HEK293T_P1A8_BACH2_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1A8_BACH2_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A8_BACH2_d075.noMT.filtered.deduped.bam
50	0.75	2	BACH2	B8	HEK293T	1	BACH2_0.75	50_HEK293T_P1B8_BACH2_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1B8_BACH2_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B8_BACH2_d075.noMT.filtered.deduped.bam
51	0.75	1	FOXO1	C8	HEK293T	1	FOXO1_0.75	51_HEK293T_P1C8_FOXO1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1C8_FOXO1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C8_FOXO1_d075.noMT.filtered.deduped.bam
52	0.75	2	FOXO1	D8	HEK293T	1	FOXO1_0.75	52_HEK293T_P1D8_FOXO1_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1D8_FOXO1_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D8_FOXO1_d075.noMT.filtered.deduped.bam
53	0.75	1	FOXP3	E8	HEK293T	1	FOXP3_0.75	53_HEK293T_P1E8_FOXP3_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1E8_FOXP3_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E8_FOXP3_d075.noMT.filtered.deduped.bam
54	0.75	2	FOXP3	F8	HEK293T	1	FOXP3_0.75	54_HEK293T_P1F8_FOXP3_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1F8_FOXP3_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F8_FOXP3_d075.noMT.filtered.deduped.bam
55	0.75	1	IRF4	G8	HEK293T	1	IRF4_0.75	55_HEK293T_P1G8_IRF4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1G8_IRF4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G8_IRF4_d075.noMT.filtered.deduped.bam
56	0.75	2	IRF4	H8	HEK293T	1	IRF4_0.75	56_HEK293T_P1H8_IRF4_d075	../../output/01-preprocessing/output/peaks/HEK293T_P1H8_IRF4_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H8_IRF4_d075.noMT.filtered.deduped.bam
57	0.5	1	BACH2	A9	HEK293T	1	BACH2_0.5	57_HEK293T_P1A9_BACH2_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1A9_BACH2_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A9_BACH2_d050.noMT.filtered.deduped.bam
58	0.5	2	BACH2	B9	HEK293T	1	BACH2_0.5	58_HEK293T_P1B9_BACH2_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1B9_BACH2_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B9_BACH2_d050.noMT.filtered.deduped.bam
59	0.5	1	FOXO1	C9	HEK293T	1	FOXO1_0.5	59_HEK293T_P1C9_FOXO1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1C9_FOXO1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C9_FOXO1_d050.noMT.filtered.deduped.bam
60	0.5	2	FOXO1	D9	HEK293T	1	FOXO1_0.5	60_HEK293T_P1D9_FOXO1_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1D9_FOXO1_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D9_FOXO1_d050.noMT.filtered.deduped.bam
61	0.5	1	FOXP3	E9	HEK293T	1	FOXP3_0.5	61_HEK293T_P1E9_FOXP3_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1E9_FOXP3_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E9_FOXP3_d050.noMT.filtered.deduped.bam
62	0.5	2	FOXP3	F9	HEK293T	1	FOXP3_0.5	62_HEK293T_P1F9_FOXP3_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1F9_FOXP3_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F9_FOXP3_d050.noMT.filtered.deduped.bam
63	0.5	1	IRF4	G9	HEK293T	1	IRF4_0.5	63_HEK293T_P1G9_IRF4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1G9_IRF4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G9_IRF4_d050.noMT.filtered.deduped.bam
64	0.5	2	IRF4	H9	HEK293T	1	IRF4_0.5	64_HEK293T_P1H9_IRF4_d050	../../output/01-preprocessing/output/peaks/HEK293T_P1H9_IRF4_d050_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H9_IRF4_d050.noMT.filtered.deduped.bam
65	0.25	1	BACH2	A10	HEK293T	1	BACH2_0.25	65_HEK293T_P1A10_BACH2_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1A10_BACH2_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A10_BACH2_d025.noMT.filtered.deduped.bam
66	0.25	2	BACH2	B10	HEK293T	1	BACH2_0.25	66_HEK293T_P1B10_BACH2_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1B10_BACH2_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B10_BACH2_d025.noMT.filtered.deduped.bam
67	0.25	1	FOXO1	C10	HEK293T	1	FOXO1_0.25	67_HEK293T_P1C10_FOXO1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1C10_FOXO1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C10_FOXO1_d025.noMT.filtered.deduped.bam
68	0.25	2	FOXO1	D10	HEK293T	1	FOXO1_0.25	68_HEK293T_P1D10_FOXO1_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1D10_FOXO1_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D10_FOXO1_d025.noMT.filtered.deduped.bam
69	0.25	1	FOXP3	E10	HEK293T	1	FOXP3_0.25	69_HEK293T_P1E10_FOXP3_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1E10_FOXP3_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E10_FOXP3_d025.noMT.filtered.deduped.bam
70	0.25	2	FOXP3	F10	HEK293T	1	FOXP3_0.25	70_HEK293T_P1F10_FOXP3_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1F10_FOXP3_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F10_FOXP3_d025.noMT.filtered.deduped.bam
71	0.25	1	IRF4	G10	HEK293T	1	IRF4_0.25	71_HEK293T_P1G10_IRF4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1G10_IRF4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G10_IRF4_d025.noMT.filtered.deduped.bam
72	0.25	2	IRF4	H10	HEK293T	1	IRF4_0.25	72_HEK293T_P1H10_IRF4_d025	../../output/01-preprocessing/output/peaks/HEK293T_P1H10_IRF4_d025_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H10_IRF4_d025.noMT.filtered.deduped.bam
73	0.05	1	BACH2	A11	HEK293T	1	BACH2_0.05	73_HEK293T_P1A11_BACH2_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1A11_BACH2_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A11_BACH2_d005.noMT.filtered.deduped.bam
74	0.05	2	BACH2	B11	HEK293T	1	BACH2_0.05	74_HEK293T_P1B11_BACH2_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1B11_BACH2_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B11_BACH2_d005.noMT.filtered.deduped.bam
75	0.05	1	FOXO1	C11	HEK293T	1	FOXO1_0.05	75_HEK293T_P1C11_FOXO1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1C11_FOXO1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1C11_FOXO1_d005.noMT.filtered.deduped.bam
76	0.05	2	FOXO1	D11	HEK293T	1	FOXO1_0.05	76_HEK293T_P1D11_FOXO1_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1D11_FOXO1_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1D11_FOXO1_d005.noMT.filtered.deduped.bam
77	0.05	1	FOXP3	E11	HEK293T	1	FOXP3_0.05	77_HEK293T_P1E11_FOXP3_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1E11_FOXP3_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1E11_FOXP3_d005.noMT.filtered.deduped.bam
78	0.05	2	FOXP3	F11	HEK293T	1	FOXP3_0.05	78_HEK293T_P1F11_FOXP3_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1F11_FOXP3_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1F11_FOXP3_d005.noMT.filtered.deduped.bam
79	0.05	1	IRF4	G11	HEK293T	1	IRF4_0.05	79_HEK293T_P1G11_IRF4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1G11_IRF4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1G11_IRF4_d005.noMT.filtered.deduped.bam
80	0.05	2	IRF4	H11	HEK293T	1	IRF4_0.05	80_HEK293T_P1H11_IRF4_d005	../../output/01-preprocessing/output/peaks/HEK293T_P1H11_IRF4_d005_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1H11_IRF4_d005.noMT.filtered.deduped.bam
81	1	1	GFP	A12	HEK293T	1	GFP_1	81_HEK293T_P1A12_GFP_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1A12_GFP_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1A12_GFP_d100.noMT.filtered.deduped.bam
82	1	2	GFP	B12	HEK293T	1	GFP_1	82_HEK293T_P1B12_GFP_d100	../../output/01-preprocessing/output/peaks/HEK293T_P1B12_GFP_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P1B12_GFP_d100.noMT.filtered.deduped.bam
165	1	1	IKZF2	A2	HEK293T	2	IKZF2_1	165_HEK293T_P2A2_IKZF2_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2A2_IKZF2_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A2_IKZF2_d100.noMT.filtered.deduped.bam
166	1	2	IKZF2	B2	HEK293T	2	IKZF2_1	166_HEK293T_P2B2_IKZF2_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2B2_IKZF2_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2B2_IKZF2_d100.noMT.filtered.deduped.bam
167	1	1	LEF1	C2	HEK293T	2	LEF1_1	167_HEK293T_P2C2_LEF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2C2_LEF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2C2_LEF1_d100.noMT.filtered.deduped.bam
168	1	2	LEF1	D2	HEK293T	2	LEF1_1	168_HEK293T_P2D2_LEF1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2D2_LEF1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2D2_LEF1_d100.noMT.filtered.deduped.bam
169	1	1	NR4A1	E2	HEK293T	2	NR4A1_1	169_HEK293T_P2E2_NR4A1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2E2_NR4A1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2E2_NR4A1_d100.noMT.filtered.deduped.bam
170	1	2	NR4A1	F2	HEK293T	2	NR4A1_1	170_HEK293T_P2F2_NR4A1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2F2_NR4A1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2F2_NR4A1_d100.noMT.filtered.deduped.bam
171	1	1	PRDM1	G2	HEK293T	2	PRDM1_1	171_HEK293T_P2G2_PRDM1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2G2_PRDM1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2G2_PRDM1_d100.noMT.filtered.deduped.bam
172	1	2	PRDM1	H2	HEK293T	2	PRDM1_1	172_HEK293T_P2H2_PRDM1_d100	../../output/01-preprocessing/output/peaks/HEK293T_P2H2_PRDM1_d100_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2H2_PRDM1_d100.noMT.filtered.deduped.bam
173	0.75	1	IKZF2	A3	HEK293T	2	IKZF2_0.75	173_HEK293T_P2A3_IKZF2_d075	../../output/01-preprocessing/output/peaks/HEK293T_P2A3_IKZF2_d075_summits.bed	../../output/01-preprocessing/output/bams/deduped/HEK293T_P2A3_IKZF2_d075.noMT.filtered.deduped.bam
