sampleID	Plasmid_Dose	Replicate	TF	Well	CellType	PlateNum	TF_Dose	sampleName	rnaPath
50	0.75	2	BACH2	B8	HEK293T	1	BACH2_0.75	50_HEK293T_P1B8_BACH2_d075	../../output/03-rna/00/output/kallisto/50_HEK293T_P1B8_BACH2_d075/abundance.h5
51	0.75	1	FOXO1	C8	HEK293T	1	FOXO1_0.75	51_HEK293T_P1C8_FOXO1_d075	../../output/03-rna/00/output/kallisto/51_HEK293T_P1C8_FOXO1_d075/abundance.h5
52	0.75	2	FOXO1	D8	HEK293T	1	FOXO1_0.75	52_HEK293T_P1D8_FOXO1_d075	../../output/03-rna/00/output/kallisto/52_HEK293T_P1D8_FOXO1_d075/abundance.h5
53	0.75	1	FOXP3	E8	HEK293T	1	FOXP3_0.75	53_HEK293T_P1E8_FOXP3_d075	../../output/03-rna/00/output/kallisto/53_HEK293T_P1E8_FOXP3_d075/abundance.h5
54	0.75	2	FOXP3	F8	HEK293T	1	FOXP3_0.75	54_HEK293T_P1F8_FOXP3_d075	../../output/03-rna/00/output/kallisto/54_HEK293T_P1F8_FOXP3_d075/abundance.h5
55	0.75	1	IRF4	G8	HEK293T	1	IRF4_0.75	55_HEK293T_P1G8_IRF4_d075	../../output/03-rna/00/output/kallisto/55_HEK293T_P1G8_IRF4_d075/abundance.h5
56	0.75	2	IRF4	H8	HEK293T	1	IRF4_0.75	56_HEK293T_P1H8_IRF4_d075	../../output/03-rna/00/output/kallisto/56_HEK293T_P1H8_IRF4_d075/abundance.h5
57	0.5	1	BACH2	A9	HEK293T	1	BACH2_0.5	57_HEK293T_P1A9_BACH2_d050	../../output/03-rna/00/output/kallisto/57_HEK293T_P1A9_BACH2_d050/abundance.h5
58	0.5	2	BACH2	B9	HEK293T	1	BACH2_0.5	58_HEK293T_P1B9_BACH2_d050	../../output/03-rna/00/output/kallisto/58_HEK293T_P1B9_BACH2_d050/abundance.h5
59	0.5	1	FOXO1	C9	HEK293T	1	FOXO1_0.5	59_HEK293T_P1C9_FOXO1_d050	../../output/03-rna/00/output/kallisto/59_HEK293T_P1C9_FOXO1_d050/abundance.h5
60	0.5	2	FOXO1	D9	HEK293T	1	FOXO1_0.5	60_HEK293T_P1D9_FOXO1_d050	../../output/03-rna/00/output/kallisto/60_HEK293T_P1D9_FOXO1_d050/abundance.h5
61	0.5	1	FOXP3	E9	HEK293T	1	FOXP3_0.5	61_HEK293T_P1E9_FOXP3_d050	../../output/03-rna/00/output/kallisto/61_HEK293T_P1E9_FOXP3_d050/abundance.h5
62	0.5	2	FOXP3	F9	HEK293T	1	FOXP3_0.5	62_HEK293T_P1F9_FOXP3_d050	../../output/03-rna/00/output/kallisto/62_HEK293T_P1F9_FOXP3_d050/abundance.h5
63	0.5	1	IRF4	G9	HEK293T	1	IRF4_0.5	63_HEK293T_P1G9_IRF4_d050	../../output/03-rna/00/output/kallisto/63_HEK293T_P1G9_IRF4_d050/abundance.h5
64	0.5	2	IRF4	H9	HEK293T	1	IRF4_0.5	64_HEK293T_P1H9_IRF4_d050	../../output/03-rna/00/output/kallisto/64_HEK293T_P1H9_IRF4_d050/abundance.h5
65	0.25	1	BACH2	A10	HEK293T	1	BACH2_0.25	65_HEK293T_P1A10_BACH2_d025	../../output/03-rna/00/output/kallisto/65_HEK293T_P1A10_BACH2_d025/abundance.h5
66	0.25	2	BACH2	B10	HEK293T	1	BACH2_0.25	66_HEK293T_P1B10_BACH2_d025	../../output/03-rna/00/output/kallisto/66_HEK293T_P1B10_BACH2_d025/abundance.h5
67	0.25	1	FOXO1	C10	HEK293T	1	FOXO1_0.25	67_HEK293T_P1C10_FOXO1_d025	../../output/03-rna/00/output/kallisto/67_HEK293T_P1C10_FOXO1_d025/abundance.h5
68	0.25	2	FOXO1	D10	HEK293T	1	FOXO1_0.25	68_HEK293T_P1D10_FOXO1_d025	../../output/03-rna/00/output/kallisto/68_HEK293T_P1D10_FOXO1_d025/abundance.h5
69	0.25	1	FOXP3	E10	HEK293T	1	FOXP3_0.25	69_HEK293T_P1E10_FOXP3_d025	../../output/03-rna/00/output/kallisto/69_HEK293T_P1E10_FOXP3_d025/abundance.h5
70	0.25	2	FOXP3	F10	HEK293T	1	FOXP3_0.25	70_HEK293T_P1F10_FOXP3_d025	../../output/03-rna/00/output/kallisto/70_HEK293T_P1F10_FOXP3_d025/abundance.h5
71	0.25	1	IRF4	G10	HEK293T	1	IRF4_0.25	71_HEK293T_P1G10_IRF4_d025	../../output/03-rna/00/output/kallisto/71_HEK293T_P1G10_IRF4_d025/abundance.h5
72	0.25	2	IRF4	H10	HEK293T	1	IRF4_0.25	72_HEK293T_P1H10_IRF4_d025	../../output/03-rna/00/output/kallisto/72_HEK293T_P1H10_IRF4_d025/abundance.h5
73	0.05	1	BACH2	A11	HEK293T	1	BACH2_0.05	73_HEK293T_P1A11_BACH2_d005	../../output/03-rna/00/output/kallisto/73_HEK293T_P1A11_BACH2_d005/abundance.h5
74	0.05	2	BACH2	B11	HEK293T	1	BACH2_0.05	74_HEK293T_P1B11_BACH2_d005	../../output/03-rna/00/output/kallisto/74_HEK293T_P1B11_BACH2_d005/abundance.h5
75	0.05	1	FOXO1	C11	HEK293T	1	FOXO1_0.05	75_HEK293T_P1C11_FOXO1_d005	../../output/03-rna/00/output/kallisto/75_HEK293T_P1C11_FOXO1_d005/abundance.h5
76	0.05	2	FOXO1	D11	HEK293T	1	FOXO1_0.05	76_HEK293T_P1D11_FOXO1_d005	../../output/03-rna/00/output/kallisto/76_HEK293T_P1D11_FOXO1_d005/abundance.h5
77	0.05	1	FOXP3	E11	HEK293T	1	FOXP3_0.05	77_HEK293T_P1E11_FOXP3_d005	../../output/03-rna/00/output/kallisto/77_HEK293T_P1E11_FOXP3_d005/abundance.h5
78	0.05	2	FOXP3	F11	HEK293T	1	FOXP3_0.05	78_HEK293T_P1F11_FOXP3_d005	../../output/03-rna/00/output/kallisto/78_HEK293T_P1F11_FOXP3_d005/abundance.h5
79	0.05	1	IRF4	G11	HEK293T	1	IRF4_0.05	79_HEK293T_P1G11_IRF4_d005	../../output/03-rna/00/output/kallisto/79_HEK293T_P1G11_IRF4_d005/abundance.h5
80	0.05	2	IRF4	H11	HEK293T	1	IRF4_0.05	80_HEK293T_P1H11_IRF4_d005	../../output/03-rna/00/output/kallisto/80_HEK293T_P1H11_IRF4_d005/abundance.h5
81	1	1	GFP	A12	HEK293T	1	GFP_1	81_HEK293T_P1A12_GFP_d100	../../output/03-rna/00/output/kallisto/81_HEK293T_P1A12_GFP_d100/abundance.h5
82	1	2	GFP	B12	HEK293T	1	GFP_1	82_HEK293T_P1B12_GFP_d100	../../output/03-rna/00/output/kallisto/82_HEK293T_P1B12_GFP_d100/abundance.h5
165	1	1	IKZF2	A2	HEK293T	2	IKZF2_1	165_HEK293T_P2A2_IKZF2_d100	../../output/03-rna/00/output/kallisto/165_HEK293T_P2A2_IKZF2_d100/abundance.h5
166	1	2	IKZF2	B2	HEK293T	2	IKZF2_1	166_HEK293T_P2B2_IKZF2_d100	../../output/03-rna/00/output/kallisto/166_HEK293T_P2B2_IKZF2_d100/abundance.h5
167	1	1	LEF1	C2	HEK293T	2	LEF1_1	167_HEK293T_P2C2_LEF1_d100	../../output/03-rna/00/output/kallisto/167_HEK293T_P2C2_LEF1_d100/abundance.h5
168	1	2	LEF1	D2	HEK293T	2	LEF1_1	168_HEK293T_P2D2_LEF1_d100	../../output/03-rna/00/output/kallisto/168_HEK293T_P2D2_LEF1_d100/abundance.h5
169	1	1	NR4A1	E2	HEK293T	2	NR4A1_1	169_HEK293T_P2E2_NR4A1_d100	../../output/03-rna/00/output/kallisto/169_HEK293T_P2E2_NR4A1_d100/abundance.h5
170	1	2	NR4A1	F2	HEK293T	2	NR4A1_1	170_HEK293T_P2F2_NR4A1_d100	../../output/03-rna/00/output/kallisto/170_HEK293T_P2F2_NR4A1_d100/abundance.h5
171	1	1	PRDM1	G2	HEK293T	2	PRDM1_1	171_HEK293T_P2G2_PRDM1_d100	../../output/03-rna/00/output/kallisto/171_HEK293T_P2G2_PRDM1_d100/abundance.h5
172	1	2	PRDM1	H2	HEK293T	2	PRDM1_1	172_HEK293T_P2H2_PRDM1_d100	../../output/03-rna/00/output/kallisto/172_HEK293T_P2H2_PRDM1_d100/abundance.h5
173	0.75	1	IKZF2	A3	HEK293T	2	IKZF2_0.75	173_HEK293T_P2A3_IKZF2_d075	../../output/03-rna/00/output/kallisto/173_HEK293T_P2A3_IKZF2_d075/abundance.h5
174	0.75	2	IKZF2	B3	HEK293T	2	IKZF2_0.75	174_HEK293T_P2B3_IKZF2_d075	../../output/03-rna/00/output/kallisto/174_HEK293T_P2B3_IKZF2_d075/abundance.h5
175	0.75	1	LEF1	C3	HEK293T	2	LEF1_0.75	175_HEK293T_P2C3_LEF1_d075	../../output/03-rna/00/output/kallisto/175_HEK293T_P2C3_LEF1_d075/abundance.h5
176	0.75	2	LEF1	D3	HEK293T	2	LEF1_0.75	176_HEK293T_P2D3_LEF1_d075	../../output/03-rna/00/output/kallisto/176_HEK293T_P2D3_LEF1_d075/abundance.h5
177	0.75	1	NR4A1	E3	HEK293T	2	NR4A1_0.75	177_HEK293T_P2E3_NR4A1_d075	../../output/03-rna/00/output/kallisto/177_HEK293T_P2E3_NR4A1_d075/abundance.h5
178	0.75	2	NR4A1	F3	HEK293T	2	NR4A1_0.75	178_HEK293T_P2F3_NR4A1_d075	../../output/03-rna/00/output/kallisto/178_HEK293T_P2F3_NR4A1_d075/abundance.h5
179	0.75	1	PRDM1	G3	HEK293T	2	PRDM1_0.75	179_HEK293T_P2G3_PRDM1_d075	../../output/03-rna/00/output/kallisto/179_HEK293T_P2G3_PRDM1_d075/abundance.h5
180	0.75	2	PRDM1	H3	HEK293T	2	PRDM1_0.75	180_HEK293T_P2H3_PRDM1_d075	../../output/03-rna/00/output/kallisto/180_HEK293T_P2H3_PRDM1_d075/abundance.h5
181	0.5	1	IKZF2	A4	HEK293T	2	IKZF2_0.5	181_HEK293T_P2A4_IKZF2_d050	../../output/03-rna/00/output/kallisto/181_HEK293T_P2A4_IKZF2_d050/abundance.h5
182	0.5	2	IKZF2	B4	HEK293T	2	IKZF2_0.5	182_HEK293T_P2B4_IKZF2_d050	../../output/03-rna/00/output/kallisto/182_HEK293T_P2B4_IKZF2_d050/abundance.h5
183	0.5	1	LEF1	C4	HEK293T	2	LEF1_0.5	183_HEK293T_P2C4_LEF1_d050	../../output/03-rna/00/output/kallisto/183_HEK293T_P2C4_LEF1_d050/abundance.h5
184	0.5	2	LEF1	D4	HEK293T	2	LEF1_0.5	184_HEK293T_P2D4_LEF1_d050	../../output/03-rna/00/output/kallisto/184_HEK293T_P2D4_LEF1_d050/abundance.h5
185	0.5	1	NR4A1	E4	HEK293T	2	NR4A1_0.5	185_HEK293T_P2E4_NR4A1_d050	../../output/03-rna/00/output/kallisto/185_HEK293T_P2E4_NR4A1_d050/abundance.h5
186	0.5	2	NR4A1	F4	HEK293T	2	NR4A1_0.5	186_HEK293T_P2F4_NR4A1_d050	../../output/03-rna/00/output/kallisto/186_HEK293T_P2F4_NR4A1_d050/abundance.h5
187	0.5	1	PRDM1	G4	HEK293T	2	PRDM1_0.5	187_HEK293T_P2G4_PRDM1_d050	../../output/03-rna/00/output/kallisto/187_HEK293T_P2G4_PRDM1_d050/abundance.h5
188	0.5	2	PRDM1	H4	HEK293T	2	PRDM1_0.5	188_HEK293T_P2H4_PRDM1_d050	../../output/03-rna/00/output/kallisto/188_HEK293T_P2H4_PRDM1_d050/abundance.h5
189	0.25	1	IKZF2	A5	HEK293T	2	IKZF2_0.25	189_HEK293T_P2A5_IKZF2_d025	../../output/03-rna/00/output/kallisto/189_HEK293T_P2A5_IKZF2_d025/abundance.h5
190	0.25	2	IKZF2	B5	HEK293T	2	IKZF2_0.25	190_HEK293T_P2B5_IKZF2_d025	../../output/03-rna/00/output/kallisto/190_HEK293T_P2B5_IKZF2_d025/abundance.h5
191	0.25	1	LEF1	C5	HEK293T	2	LEF1_0.25	191_HEK293T_P2C5_LEF1_d025	../../output/03-rna/00/output/kallisto/191_HEK293T_P2C5_LEF1_d025/abundance.h5
192	0.25	2	LEF1	D5	HEK293T	2	LEF1_0.25	192_HEK293T_P2D5_LEF1_d025	../../output/03-rna/00/output/kallisto/192_HEK293T_P2D5_LEF1_d025/abundance.h5
193	0.25	1	NR4A1	E5	HEK293T	2	NR4A1_0.25	193_HEK293T_P2E5_NR4A1_d025	../../output/03-rna/00/output/kallisto/193_HEK293T_P2E5_NR4A1_d025/abundance.h5
194	0.25	2	NR4A1	F5	HEK293T	2	NR4A1_0.25	194_HEK293T_P2F5_NR4A1_d025	../../output/03-rna/00/output/kallisto/194_HEK293T_P2F5_NR4A1_d025/abundance.h5
195	0.25	1	PRDM1	G5	HEK293T	2	PRDM1_0.25	195_HEK293T_P2G5_PRDM1_d025	../../output/03-rna/00/output/kallisto/195_HEK293T_P2G5_PRDM1_d025/abundance.h5
196	0.25	2	PRDM1	H5	HEK293T	2	PRDM1_0.25	196_HEK293T_P2H5_PRDM1_d025	../../output/03-rna/00/output/kallisto/196_HEK293T_P2H5_PRDM1_d025/abundance.h5
197	0.05	1	IKZF2	A6	HEK293T	2	IKZF2_0.05	197_HEK293T_P2A6_IKZF2_d005	../../output/03-rna/00/output/kallisto/197_HEK293T_P2A6_IKZF2_d005/abundance.h5
198	0.05	2	IKZF2	B6	HEK293T	2	IKZF2_0.05	198_HEK293T_P2B6_IKZF2_d005	../../output/03-rna/00/output/kallisto/198_HEK293T_P2B6_IKZF2_d005/abundance.h5
199	0.05	1	LEF1	C6	HEK293T	2	LEF1_0.05	199_HEK293T_P2C6_LEF1_d005	../../output/03-rna/00/output/kallisto/199_HEK293T_P2C6_LEF1_d005/abundance.h5
200	0.05	2	LEF1	D6	HEK293T	2	LEF1_0.05	200_HEK293T_P2D6_LEF1_d005	../../output/03-rna/00/output/kallisto/200_HEK293T_P2D6_LEF1_d005/abundance.h5
201	0.05	1	NR4A1	E6	HEK293T	2	NR4A1_0.05	201_HEK293T_P2E6_NR4A1_d005	../../output/03-rna/00/output/kallisto/201_HEK293T_P2E6_NR4A1_d005/abundance.h5
202	0.05	2	NR4A1	F6	HEK293T	2	NR4A1_0.05	202_HEK293T_P2F6_NR4A1_d005	../../output/03-rna/00/output/kallisto/202_HEK293T_P2F6_NR4A1_d005/abundance.h5
203	0.05	1	PRDM1	G6	HEK293T	2	PRDM1_0.05	203_HEK293T_P2G6_PRDM1_d005	../../output/03-rna/00/output/kallisto/203_HEK293T_P2G6_PRDM1_d005/abundance.h5
204	0.05	2	PRDM1	H6	HEK293T	2	PRDM1_0.05	204_HEK293T_P2H6_PRDM1_d005	../../output/03-rna/00/output/kallisto/204_HEK293T_P2H6_PRDM1_d005/abundance.h5
205	1	1	XBP1	A7	HEK293T	2	XBP1_1	205_HEK293T_P2A7_XBP1_d100	../../output/03-rna/00/output/kallisto/205_HEK293T_P2A7_XBP1_d100/abundance.h5
206	1	2	XBP1	B7	HEK293T	2	XBP1_1	206_HEK293T_P2B7_XBP1_d100	../../output/03-rna/00/output/kallisto/206_HEK293T_P2B7_XBP1_d100/abundance.h5
207	1	1	ALX4	C7	HEK293T	2	ALX4_1	207_HEK293T_P2C7_ALX4_d100	../../output/03-rna/00/output/kallisto/207_HEK293T_P2C7_ALX4_d100/abundance.h5
208	1	2	ALX4	D7	HEK293T	2	ALX4_1	208_HEK293T_P2D7_ALX4_d100	../../output/03-rna/00/output/kallisto/208_HEK293T_P2D7_ALX4_d100/abundance.h5
209	1	1	TCF3	E7	HEK293T	2	TCF3_1	209_HEK293T_P2E7_TCF3_d100	../../output/03-rna/00/output/kallisto/209_HEK293T_P2E7_TCF3_d100/abundance.h5
210	1	2	TCF3	F7	HEK293T	2	TCF3_1	210_HEK293T_P2F7_TCF3_d100	../../output/03-rna/00/output/kallisto/210_HEK293T_P2F7_TCF3_d100/abundance.h5
211	1	1	MXD1	G7	HEK293T	2	MXD1_1	211_HEK293T_P2G7_MXD1_d100	../../output/03-rna/00/output/kallisto/211_HEK293T_P2G7_MXD1_d100/abundance.h5
212	1	2	MXD1	H7	HEK293T	2	MXD1_1	212_HEK293T_P2H7_MXD1_d100	../../output/03-rna/00/output/kallisto/212_HEK293T_P2H7_MXD1_d100/abundance.h5
213	0.75	1	XBP1	A8	HEK293T	2	XBP1_0.75	213_HEK293T_P2A8_XBP1_d075	../../output/03-rna/00/output/kallisto/213_HEK293T_P2A8_XBP1_d075/abundance.h5
214	0.75	2	XBP1	B8	HEK293T	2	XBP1_0.75	214_HEK293T_P2B8_XBP1_d075	../../output/03-rna/00/output/kallisto/214_HEK293T_P2B8_XBP1_d075/abundance.h5
215	0.75	1	ALX4	C8	HEK293T	2	ALX4_0.75	215_HEK293T_P2C8_ALX4_d075	../../output/03-rna/00/output/kallisto/215_HEK293T_P2C8_ALX4_d075/abundance.h5
216	0.75	2	ALX4	D8	HEK293T	2	ALX4_0.75	216_HEK293T_P2D8_ALX4_d075	../../output/03-rna/00/output/kallisto/216_HEK293T_P2D8_ALX4_d075/abundance.h5
217	0.75	1	TCF3	E8	HEK293T	2	TCF3_0.75	217_HEK293T_P2E8_TCF3_d075	../../output/03-rna/00/output/kallisto/217_HEK293T_P2E8_TCF3_d075/abundance.h5
218	0.75	2	TCF3	F8	HEK293T	2	TCF3_0.75	218_HEK293T_P2F8_TCF3_d075	../../output/03-rna/00/output/kallisto/218_HEK293T_P2F8_TCF3_d075/abundance.h5
219	0.75	1	MXD1	G8	HEK293T	2	MXD1_0.75	219_HEK293T_P2G8_MXD1_d075	../../output/03-rna/00/output/kallisto/219_HEK293T_P2G8_MXD1_d075/abundance.h5
220	0.75	2	MXD1	H8	HEK293T	2	MXD1_0.75	220_HEK293T_P2H8_MXD1_d075	../../output/03-rna/00/output/kallisto/220_HEK293T_P2H8_MXD1_d075/abundance.h5
